Date,Open,High,Low,Close,Volume,Market Cap
2017-08-27,0.237717,0.243946,0.235746,0.243735,4030040,
2017-08-28,0.246066,0.249519,0.203228,0.228876,9831220,
2017-08-29,0.227651,0.244346,0.209235,0.211962,4047160,
2017-08-30,0.210644,0.2244,0.161109,0.168399,4780670,
2017-08-31,0.170501,0.206064,0.154846,0.187079,7795120,
2017-09-01,0.184199,0.188164,0.164651,0.167715,3440440,
2017-09-02,0.166142,0.167499,0.114765,0.120419,4526460,
2017-09-03,0.123437,0.131283,0.086384,0.08843,4801700,
2017-09-04,0.08843,0.097585,0.035427,0.038463,6812260,
2017-09-05,0.038264,0.047174,0.028637,0.036545,5500340,
2017-09-06,0.036545,0.036615,0.036545,0.036615,5510850,
2017-09-08,0.037778,0.040939,0.030961,0.036411,1951940,
2017-09-09,0.036411,0.036421,0.036411,0.036421,1952470,
2017-10-09,0.074379,0.094724,0.070574,0.084482,923876,
2017-10-10,0.083567,0.093173,0.076172,0.081743,591717,
2017-10-11,0.083253,0.084442,0.072397,0.075515,541403,
2017-10-12,0.075675,0.083121,0.057832,0.071868,755915,
2017-10-13,0.072797,0.076342,0.051274,0.068076,599862,
2017-10-14,0.068151,0.073472,0.056239,0.064249,311368,
2017-10-15,0.064364,0.07195,0.057301,0.066245,199464,
2017-10-16,0.068189,0.069394,0.056854,0.058648,98965,
2017-10-17,0.058831,0.075741,0.056545,0.07006,190842,
2017-10-18,0.070289,0.080772,0.063744,0.072652,196492,
2017-10-19,0.072187,0.0838,0.071378,0.074766,206858,
2017-10-20,0.074901,0.079742,0.064005,0.065233,157423,
2017-10-21,0.065516,0.07848,0.065411,0.068295,160372,
2017-10-22,0.068316,0.074808,0.066532,0.071687,181883,
2017-10-23,0.071154,0.075143,0.068782,0.071247,167684,
2017-10-24,0.070856,0.071434,0.065215,0.065752,143459,
2017-10-25,0.065889,0.07015,0.064327,0.070025,152887,
2017-10-26,0.070017,0.083048,0.069482,0.072744,152840,
2017-10-27,0.072643,0.095234,0.065267,0.071502,138566,
2017-10-28,0.071639,0.077375,0.068306,0.072156,150990,
2017-10-29,0.074062,0.085142,0.071688,0.079021,190510,
2017-10-30,0.082687,0.082687,0.074537,0.07858,151973,
2017-10-31,0.078313,0.084695,0.075703,0.077126,189680,
2017-11-01,0.07475,0.080215,0.066887,0.073932,124020,21874107.0
2017-11-02,0.074015,0.082165,0.058906,0.071802,63610,21243734.0
2017-11-03,0.071708,0.077456,0.062077,0.070994,125594,21004673.0
2017-11-04,0.071167,0.082724,0.064406,0.06903,69042,20423680.0
2017-11-05,0.068899,0.086825,0.068693,0.081073,97115,23986803.0
2017-11-06,0.07763,0.097718,0.073,0.077299,79457,22870172.0
2017-11-07,0.077175,0.099797,0.077175,0.099797,185245,29526552.0
2017-11-08,0.099483,0.106426,0.094332,0.10353,171353,30631082.0
2017-11-09,0.103424,0.142105,0.09877,0.133768,364087,39577499.0
2017-11-10,0.134094,0.153008,0.108894,0.118836,415189,35159618.0
2017-11-11,0.118413,0.125539,0.109241,0.113058,313817,33450100.0
2017-11-12,0.112657,0.113809,0.09189,0.095614,244248,28288912.0
2017-11-13,0.096105,0.116114,0.094949,0.108835,276878,32650500.0
2017-11-14,0.109131,0.116782,0.099084,0.100428,259574,30128400.0
2017-11-15,0.100034,0.115291,0.100034,0.10556,264685,31668000.0
2017-11-16,0.105967,0.131251,0.105142,0.123521,349955,37056300.0
2017-11-17,0.123161,0.127264,0.113203,0.115205,303229,34561500.0
2017-11-18,0.114917,0.131444,0.110916,0.121701,377437,36510300.0
2017-11-19,0.121242,0.13113,0.11614,0.126582,330448,37974600.0
2017-11-20,0.126844,0.141501,0.117582,0.132086,491380,39625800.0
2017-11-21,0.13244,0.153101,0.129135,0.146833,524710,44049900.0
2017-11-22,0.147108,0.189075,0.146294,0.189075,642358,56722500.0
2017-11-23,0.173222,0.203104,0.161248,0.161248,585729,48374400.0
2017-11-24,0.160883,0.179704,0.158249,0.162926,422245,48877800.0
2017-11-25,0.162517,0.181606,0.162517,0.177885,454508,53365500.0
2017-11-26,0.17867,0.24839,0.1741,0.224701,992316,67410300.0
2017-11-27,0.225093,0.240065,0.207994,0.229414,663289,68824200.0
2017-11-28,0.229721,0.233132,0.21067,0.211461,427066,63438300.0
2017-11-29,0.210667,0.232425,0.169211,0.184347,542045,55304100.0
2017-11-30,0.194685,0.245684,0.186071,0.244417,839983,73325100.0
2017-12-01,0.2435,0.24722,0.178806,0.242074,1575190,72622200.0
2017-12-02,0.24066,0.24066,0.201507,0.205081,922364,61524300.0
2017-12-03,0.205644,0.222733,0.195055,0.208689,1121870,62606700.0
2017-12-04,0.208935,0.241244,0.203962,0.241155,1726410,72346500.0
2017-12-05,0.245145,0.279197,0.221107,0.26334,2982290,79002000.0
2017-12-06,0.260629,0.319669,0.252397,0.313354,2700770,94006200.0
