Date,Open,High,Low,Close,Volume,Market Cap
2017-10-07,2.7,2.7,2.7,2.7,79554,
2017-10-12,3.09,3.1,2.62,2.99,322269,
2017-10-13,3.0,3.0,2.29,2.71,199539,
2017-10-14,2.71,2.81,1.38,2.24,82511,
2017-10-15,2.24,2.87,0.819288,2.85,604427,
2017-10-16,2.85,2.86,1.52,2.12,48748,
2017-10-17,2.12,2.67,1.79,2.25,442008,
2017-10-18,2.25,2.25,1.76,2.12,1959,
2017-10-19,2.12,2.48,1.76,2.34,560956,
2017-10-20,2.34,2.49,2.17,2.2,593,
2017-10-21,2.19,2.32,1.65,2.29,8377,
2017-10-22,2.29,2.31,1.63,1.91,68,
2017-10-23,1.91,2.13,1.49,1.73,262,
2017-10-24,1.72,2.25,1.33,1.83,122495,
2017-10-25,1.83,1.83,1.35,1.59,103078,
2017-10-26,1.59,2.22,0.956729,1.42,121160,
2017-10-27,1.42,1.57,1.28,1.35,114814,
2017-10-28,1.36,1.61,1.23,1.43,104856,
2017-10-29,1.42,1.45,1.35,1.41,105742,
2017-10-30,1.4,1.56,0.737126,0.884592,144318,
2017-10-31,0.881588,1.61,0.728304,1.54,574651,
2017-11-01,1.54,1.61,1.18,1.46,138360,
2017-11-02,1.46,1.53,1.16,1.36,104615,
2017-11-03,1.33,1.69,1.13,1.28,93517,
2017-11-04,1.28,1.37,1.12,1.34,83286,
2017-11-05,1.33,1.59,1.22,1.32,79061,
2017-11-06,1.32,1.41,1.2,1.25,143660,
2017-11-07,1.25,1.43,1.21,1.24,102042,55684972.0
2017-11-08,1.23,1.35,1.19,1.28,107181,57323919.0
2017-11-09,1.27,1.33,1.21,1.24,98033,55705083.0
2017-11-10,1.24,1.28,1.06,1.17,77186,52394467.0
2017-11-11,1.16,1.33,0.948879,1.3,142993,58417723.0
2017-11-12,1.3,1.3,0.906788,0.938893,51977,42211591.0
2017-11-13,0.94026,1.19,0.875044,1.09,106703,48979751.0
2017-11-14,1.09,1.18,1.05,1.06,110521,47650418.0
2017-11-15,1.06,1.27,1.06,1.2,101793,54128403.0
2017-11-16,1.21,1.34,1.16,1.25,109048,56229957.0
2017-11-17,1.25,1.37,1.18,1.3,100245,58306617.0
2017-11-18,1.29,1.34,1.17,1.26,104499,56521761.0
2017-11-19,1.25,1.38,1.18,1.23,98804,55479755.0
2017-11-20,1.23,1.4,1.22,1.32,106914,59162536.0
2017-11-21,1.32,1.42,1.24,1.3,105209,58414252.0
2017-11-22,1.3,1.54,1.28,1.54,135714,69050026.0
2017-11-23,1.53,1.89,1.36,1.55,132188,69592421.0
2017-11-24,1.55,2.03,1.51,1.87,123603,84226698.0
2017-11-25,1.87,2.06,1.66,1.82,104993,81965835.0
2017-11-26,1.82,2.14,1.82,2.12,109848,95187557.0
2017-11-27,2.12,2.25,1.88,2.21,127646,99278197.0
2017-11-28,2.21,2.33,2.05,2.09,133616,94178149.0
2017-11-29,2.09,2.53,2.08,2.21,123391,99627286.0
2017-11-30,2.25,2.49,2.0,2.23,135490,100476186.0
2017-12-01,2.22,2.68,2.16,2.62,146838,117726929.0
2017-12-02,2.44,3.62,2.35,3.62,195042,162792174.0
2017-12-03,3.62,3.73,3.05,3.1,236638,139543718.0
2017-12-04,3.11,3.59,3.1,3.25,147451,146441835.0
2017-12-05,3.26,3.79,3.08,3.53,173397,158639310.0
2017-12-06,3.52,4.26,3.25,4.25,162647,191445847.0
2017-12-07,4.25,5.13,4.03,5.13,210681,230835555.0
2017-12-08,5.14,5.19,3.8,4.36,324471,196141113.0
2017-12-09,4.35,4.42,3.5,3.68,171704,165795897.0
2017-12-10,3.7,4.26,3.3,3.99,164622,179437943.0
2017-12-11,3.96,4.7,3.94,4.19,192131,188583027.0
2017-12-12,4.2,4.62,4.1,4.31,188215,193776382.0
2017-12-13,4.31,4.76,4.11,4.28,174245,192459465.0
2017-12-14,4.26,4.68,4.2,4.47,177682,200995905.0
2017-12-15,4.47,4.85,4.37,4.41,199080,198369618.0
2017-12-16,4.41,5.46,4.4,5.45,294095,245136658.0
2017-12-17,5.45,5.78,5.12,5.15,173631,231639250.0
2017-12-18,5.16,6.28,4.93,5.92,255845,266284133.0
2017-12-19,6.48,6.48,4.92,4.92,215936,221327846.0
2017-12-20,4.91,5.34,4.56,4.77,190410,214848438.0
2017-12-21,4.78,5.49,4.58,5.0,227195,224982400.0
2017-12-22,5.01,5.06,3.59,4.12,214445,185322193.0
