Date,Open,High,Low,Close,Volume,Market Cap
2017-11-03,0.072485,0.074555,0.06177,0.06366,2771370,
2017-11-04,0.065025,0.078911,0.057971,0.078053,2103840,
2017-11-05,0.078181,0.098942,0.078181,0.095522,5393300,
2017-11-06,0.095868,0.095868,0.070536,0.072413,2280000,49034519.0
2017-11-07,0.072449,0.078596,0.070696,0.072786,1649370,49287165.0
2017-11-08,0.072874,0.081654,0.072874,0.078809,2181610,53366006.0
2017-11-09,0.07799,0.09297,0.076509,0.087902,2427140,59522965.0
2017-11-10,0.086739,0.092723,0.074189,0.078907,1597910,53432367.0
2017-11-11,0.079038,0.082238,0.073945,0.079108,1138150,53568475.0
2017-11-12,0.07799,0.079946,0.06999,0.073702,1120230,49907777.0
2017-11-13,0.07259,0.078169,0.071578,0.074054,1198300,50146000.0
2017-11-14,0.075032,0.075657,0.072072,0.073212,612189,49576039.0
2017-11-15,0.073173,0.075077,0.07076,0.071741,952326,48579539.0
2017-11-16,0.071334,0.07246,0.066038,0.067946,1101700,46009873.0
2017-11-17,0.068047,0.071354,0.066321,0.07074,611732,47901843.0
2017-11-18,0.070376,0.079875,0.067624,0.073295,1862580,49632108.0
2017-11-19,0.073887,0.078402,0.072012,0.07346,714106,49743771.0
2017-11-20,0.07343,0.074287,0.070612,0.073785,742736,49963846.0
2017-11-21,0.07322,0.076685,0.07054,0.073075,967821,49482863.0
2017-11-22,0.073211,0.075461,0.070922,0.074142,846383,50205251.0
2017-11-23,0.074164,0.074874,0.071336,0.071656,1392560,48522387.0
2017-11-24,0.071755,0.074398,0.068242,0.072969,2071370,49411355.0
2017-11-25,0.073461,0.106609,0.070856,0.08892,4467940,60212376.0
2017-11-26,0.088924,0.098964,0.08257,0.091747,5216050,62126624.0
2017-11-27,0.089457,0.104669,0.08747,0.097401,3735430,65955324.0
2017-11-28,0.101351,0.107749,0.094755,0.10648,3982670,72103413.0
2017-11-29,0.106626,0.146421,0.090449,0.104355,12401800,70664459.0
2017-11-30,0.103437,0.12649,0.100215,0.112301,6185430,76045129.0
2017-12-01,0.111269,0.119606,0.101152,0.104868,4580030,71011840.0
2017-12-02,0.104579,0.109781,0.095495,0.099603,3409950,67446756.0
2017-12-03,0.099388,0.114306,0.091895,0.102206,4226530,69209254.0
2017-12-04,0.10145,0.107981,0.100124,0.107044,2686070,72485328.0
2017-12-05,0.105594,0.111638,0.101108,0.103708,3010660,70226340.0
2017-12-06,0.104266,0.200493,0.100286,0.177955,24050500,120503032.0
2017-12-07,0.174788,0.196335,0.126396,0.138335,10112100,93674170.0
2017-12-08,0.137766,0.151141,0.12731,0.148734,4424930,100715899.0
2017-12-09,0.149387,0.159669,0.131268,0.13978,4306080,94652658.0
2017-12-10,0.139657,0.139657,0.120177,0.126143,2431430,85418302.0
2017-12-11,0.126171,0.144655,0.125085,0.142998,4202140,96831741.0
2017-12-12,0.142479,0.154885,0.133033,0.145955,6726170,98834087.0
2017-12-13,0.148038,0.158713,0.138417,0.143266,5072230,97013219.0
2017-12-14,0.142656,0.210022,0.13795,0.196837,19070400,133289063.0
2017-12-15,0.199716,0.343133,0.176024,0.343133,42491100,232354060.0
