Date,Open,High,Low,Close,Volume,Market Cap
2017-12-28,0.186585,0.38547,0.186585,0.38547,380453.0,
2017-12-29,0.394976,0.396898,0.21429,0.258929,224666.0,
2017-12-30,0.288421,0.304823,0.18881,0.245116,103650.0,
2017-12-31,0.242977,0.304315,0.231853,0.289435,91503.0,
2018-01-01,0.29648,0.312157,0.237064,0.271559,63029.0,
2018-01-02,0.294876,0.3409,0.190755,0.257267,77919.0,
2018-01-03,0.249847,0.334939,0.175827,0.207329,108536.0,
2018-01-04,0.20766,0.288808,0.186771,0.227974,78798.0,
2018-01-05,0.217574,0.259822,0.14722,0.173507,130458.0,
2018-01-06,0.193721,0.33104,0.173253,0.32213,180837.0,
2018-01-07,0.311939,0.34326,0.182672,0.243346,171783.0,
2018-01-08,0.245555,0.281965,0.192217,0.227887,76292.0,
2018-01-09,0.227239,0.287102,0.197473,0.231729,102215.0,
2018-01-10,0.231829,0.276187,0.202862,0.224795,66528.0,
2018-01-11,0.224287,0.275204,0.206227,0.215601,31504.0,
2018-01-12,0.218083,0.257229,0.18782,0.227431,106765.0,
2018-01-13,0.227404,0.252939,0.185218,0.221835,52137.0,
2018-01-14,0.222043,0.250376,0.192111,0.218008,34909.0,
2018-01-15,0.21796,0.242154,0.191352,0.191352,22311.0,
2018-01-16,0.191736,0.211241,0.121603,0.148299,50805.0,
2018-01-17,0.147753,0.170269,0.084758,0.161049,29218.0,
2018-01-18,0.162863,0.170755,0.120462,0.123346,21146.0,2763029.0
2018-01-19,0.12243,0.196115,0.095503,0.185828,60351.0,4017119.0
2018-01-20,0.187026,0.285342,0.1766,0.229939,95547.0,4676091.0
2018-01-21,0.253481,0.269742,0.173924,0.208225,29761.0,4234510.0
2018-01-22,0.209208,0.217108,0.172138,0.210383,11761.0,4278395.0
2018-01-23,0.21,0.212486,0.154828,0.186766,19588.0,3793790.0
2018-01-24,0.186822,0.242742,0.17331,0.231869,26589.0,4705613.0
2018-01-25,0.201725,0.242606,0.195156,0.231108,42651.0,5483993.0
2018-01-26,0.230304,0.236558,0.178093,0.189288,28249.0,7933973.0
2018-01-27,0.189302,0.218543,0.178256,0.197975,5099.0,8298723.0
2018-01-28,0.199368,0.232031,0.194734,0.221772,20633.0,9296696.0
2018-01-29,0.221445,0.25795,0.164045,0.25759,57404.0,11348485.0
2018-01-30,0.257704,0.257704,0.176345,0.200878,31978.0,9109301.0
2018-01-31,0.201572,0.219669,0.171626,0.199144,17255.0,12434964.0
2018-02-01,0.199525,0.207007,0.144336,0.154728,8033.0,9664667.0
2018-02-02,0.154183,0.171078,0.112434,0.145982,23712.0,9119352.0
2018-02-03,0.155857,0.168211,0.133733,0.136028,7406.0,8497779.0
2018-02-04,0.135987,0.14567,0.111016,0.125297,10821.0,7834909.0
2018-02-05,0.124083,0.124083,0.069377,0.090095,13102.0,5634310.0
2018-02-06,0.090416,0.143546,0.056453,0.134592,18415.0,8586782.0
2018-02-07,0.134451,0.151524,0.109871,0.127946,2813.0,8164669.0
2018-02-08,0.127619,0.142808,0.122543,0.138276,6456.0,8825329.0
2018-02-09,0.138449,0.138449,0.119691,0.13166,2738.0,8403269.0
2018-02-10,0.131613,0.132997,0.099241,0.110841,11858.0,7074557.0
2018-02-11,0.110661,0.118789,0.074369,0.089085,19467.0,5685995.0
2018-02-12,0.089468,0.112928,0.083324,0.103809,4623.0,6625921.0
2018-02-13,0.103954,0.110349,0.099191,0.101053,1063.0,6450011.0
2018-02-14,0.101009,0.112365,0.098392,0.110483,5039.0,7052057.0
2018-02-15,0.11054,0.132706,0.108793,0.120912,3401.0,7802071.0
2018-02-16,0.120825,0.130676,0.092965,0.093737,19297.0,6094136.0
2018-02-17,0.093791,0.124862,0.093553,0.107063,15637.0,6980439.0
2018-02-18,0.107107,0.117395,0.073596,0.091853,16983.0,5988741.0
2018-02-19,0.091545,0.121879,0.091545,0.121782,6984.0,7969536.0
2018-02-20,0.121808,0.12299,0.106207,0.106495,4507.0,6977684.0
2018-02-21,0.106362,0.116091,0.098619,0.100927,1737.0,6614433.0
2018-02-22,0.10076,0.120131,0.087078,0.09672,7642.0,6338823.0
2018-02-23,0.096601,0.120327,0.090966,0.102792,5698.0,6736762.0
2018-02-24,0.102705,0.110318,0.089476,0.09177,2551.0,6014998.0
2018-02-25,0.091555,0.101404,0.081868,0.100569,780.0,6591722.0
2018-02-26,0.100634,0.121865,0.092256,0.112416,13048.0,7370702.0
