Date,Open,High,Low,Close,Volume,Market Cap
2014-10-26,0.00695,0.006962,0.006937,0.006962,10.0,5841
2014-10-27,0.006964,0.007022,0.001762,0.001939,24.0,1645
2014-10-28,0.001793,0.002198,0.001793,0.002197,5.0,1885
2014-10-29,0.002194,0.006153,0.001585,0.001878,12.0,1628
2014-10-30,0.001879,0.005263,0.001871,0.005172,5.0,4531
2014-10-31,0.005168,0.005244,0.001505,0.004176,4.0,3697
2014-11-01,0.00418,0.004246,0.001284,0.001303,0.0,1166
2014-11-02,0.001304,0.004871,0.001282,0.004856,17.0,4389
2014-11-03,0.004851,0.004977,0.00485,0.004881,17.0,4457
2014-11-04,0.004875,0.004943,0.001304,0.004924,1.0,4542
2014-11-05,0.004927,0.007194,0.004409,0.004413,1.0,4113
2014-11-06,0.004413,0.004589,0.0044,0.004541,0.0,4274
2014-11-07,0.004548,0.004548,0.004358,0.004417,0.0,4198
2014-11-08,0.004414,0.004477,0.004414,0.004457,0.0,4277
2014-11-09,0.004455,0.004691,0.004441,0.004686,0.0,4541
2014-11-10,0.004673,0.00468,0.004613,0.004656,0.0,4525
2014-11-11,0.012711,0.012805,0.005491,0.005515,0.0,5448
2014-11-12,0.00552,0.015738,0.00552,0.008492,30.0,8465
2014-11-13,0.008567,0.014798,0.008043,0.014726,6.0,14814
2014-11-14,0.014645,0.014674,0.013468,0.013924,0.0,14140
2014-11-15,0.013988,0.014194,0.012985,0.013135,0.0,13441
2014-11-16,0.007591,0.007843,0.007586,0.007785,3.0,8049
2014-11-17,0.007794,0.008233,0.007576,0.007775,3.0,8111
2014-11-18,0.007783,0.007876,0.007687,0.007787,3.0,8136
2014-11-19,0.009466,0.009662,0.009383,0.009514,0.0,10102
2014-11-20,0.009508,0.009551,0.005355,0.005371,2.0,5755
2014-11-21,0.005372,0.005372,0.005165,0.00527,1.0,5707
2014-11-22,0.005281,0.00548,0.00527,0.005301,0.0,5793
2014-11-23,0.005305,0.009271,0.005305,0.009189,1.0,10126
2014-11-24,0.009174,0.011433,0.009174,0.011307,10.0,12567
2014-11-25,0.011307,0.015193,0.010864,0.015014,15.0,16829
