Date,Open,High,Low,Close,Volume,Market Cap
2015-05-21,0.009079,0.009079,0.005544,0.006707,247.0,5767
2015-05-22,0.006707,0.007565,0.004242,0.004244,403.0,3771
2015-05-23,0.004243,0.004822,0.003582,0.004297,20.0,3944
2015-05-24,0.004299,0.004627,0.00415,0.004571,18.0,4295
2015-05-25,0.00457,0.004584,0.001247,0.001361,132.0,1330
2015-05-26,0.001361,0.005045,0.001361,0.005031,26.0,5069
2015-05-27,0.005029,0.005126,0.001502,0.002141,41.0,2184
2015-05-28,0.002141,0.002484,0.000606,0.000607,133.0,623
2015-05-29,0.000606,0.008923,0.000497,0.005927,3740.0,6132
2015-05-30,0.006121,0.008587,0.004687,0.005143,1058.0,5359
2015-05-31,0.005138,0.007072,0.005112,0.006233,644.0,6542
2015-06-01,0.006234,0.008959,0.005684,0.00611,1067.0,6459
2015-06-02,0.006109,0.006521,0.005308,0.006504,652.0,6922
2015-06-03,0.006502,0.006523,0.005976,0.006094,55.0,6531
2015-06-04,0.006091,0.006498,0.005288,0.006248,59.0,6742
2015-06-05,0.006244,0.00634,0.005435,0.006158,14.0,6692
2015-06-06,0.00616,0.006163,0.003988,0.004036,426.0,4412
2015-06-07,0.004035,0.006851,0.004035,0.005237,206.0,5767
2015-06-08,0.005237,0.005767,0.003615,0.004485,92.0,4972
2015-06-09,0.004486,0.004487,0.002296,0.004226,89.0,4717
2015-06-10,0.004225,0.004239,0.002863,0.002997,11.0,3367
2015-06-11,0.002998,0.003138,0.001305,0.00132,112.0,1493
2015-06-12,0.00132,0.003261,0.001317,0.003247,68.0,3699
2015-06-13,0.003246,0.003262,0.00277,0.002789,9.0,3197
2015-06-14,0.002789,0.003375,0.002118,0.003375,22.0,3882
2015-06-15,0.003373,0.003838,0.001853,0.002013,46.0,2316
2015-06-16,0.002013,0.00323,0.002004,0.003141,4.0,3677
2015-06-17,0.00314,0.004107,0.00196,0.002832,51.0,3337
2015-06-18,0.002833,0.002833,0.001294,0.001295,54.0,1536
2015-06-19,0.001295,0.001709,0.000531,0.001012,60.0,1208
2015-06-20,0.001011,0.002319,0.000812,0.002307,53.0,2771
2015-06-21,0.002306,0.002881,0.001339,0.002415,76.0,2917
2015-06-22,0.002415,0.004693,0.001369,0.004693,2056.0,5699
2015-06-23,0.003951,0.005144,0.003093,0.003298,930.0,4034
2015-06-24,0.003298,0.005548,0.002573,0.003608,2016.0,4441
2015-06-25,0.003605,0.0051,0.003204,0.003571,724.0,4423
2015-06-26,0.003568,0.003949,0.002498,0.002923,264.0,3643
2015-06-27,0.002923,0.003175,0.002469,0.002512,99.0,3150
2015-06-28,0.002512,0.002607,0.001869,0.002592,169.0,3270
2015-06-29,0.002589,0.002614,0.002204,0.002278,1.0,2890
2015-06-30,0.002277,0.002365,0.001468,0.001468,14.0,1874
2015-07-01,0.001469,0.001567,0.000697,0.001562,55.0,2006
2015-07-02,0.001562,0.001565,0.000775,0.00113,90.0,1460
2015-07-03,0.001131,0.001138,0.00077,0.000772,0.0,1002
2015-07-04,0.000772,0.001367,0.000765,0.000968,3.0,1265
