Date,Open,High,Low,Close,Volume,Market Cap
2017-01-19,3.67,3.7,3.67,3.69,14534.0,
2017-01-20,3.69,4.53,2.25,3.72,9219.0,
2017-01-21,3.72,3.76,1.38,2.77,59.0,
2017-01-22,2.77,3.21,2.69,3.0,598.0,
2017-01-23,3.12,3.2,2.76,2.76,257.0,
2017-01-24,2.73,2.95,2.69,2.94,97.0,
2017-01-25,2.94,2.97,2.7,2.7,45.0,
2017-01-26,2.71,2.72,1.58,1.59,2.0,
2017-01-27,1.59,2.67,1.39,2.63,2054.0,
2017-01-28,2.63,2.76,2.08,2.67,2805.0,
2017-01-29,2.67,2.67,2.66,2.66,12.0,31760.0
2017-01-30,2.66,2.76,2.59,2.65,1557.0,31706.0
2017-01-31,2.65,2.77,1.42,2.64,22.0,31584.0
2017-02-01,2.64,3.73,2.13,3.73,2573.0,44574.0
2017-02-02,3.73,4.38,1.08,2.81,3168.0,33546.0
2017-02-03,2.81,2.86,1.44,2.81,2664.0,33606.0
2017-02-04,2.82,2.82,2.11,2.72,22096.0,32562.0
2017-02-05,2.73,8.86,1.15,2.07,5915.0,24738.0
2017-02-06,2.07,2.34,1.44,2.28,3315.0,27266.0
2017-02-07,2.27,2.56,1.88,2.44,12549.0,29169.0
2017-02-08,2.44,2.44,1.64,2.2,2904.0,26328.0
2017-02-09,2.21,2.25,0.987043,1.51,1126.0,18028.0
2017-02-10,1.51,1.68,1.02,1.46,994.0,17409.0
2017-02-11,1.46,1.61,1.12,1.21,413.0,14495.0
2017-02-12,1.21,1.32,0.522308,1.3,3932.0,15524.0
2017-02-13,1.3,1.31,0.983799,1.21,249.0,14480.0
2017-02-14,1.21,1.28,0.958647,1.27,1089.0,15128.0
2017-02-15,1.27,1.27,1.06,1.25,1029.0,14954.0
2017-02-16,1.25,1.95,0.916213,1.94,3845.0,23244.0
2017-02-17,1.94,2.21,1.04,1.36,3422.0,16280.0
