Date,Open,High,Low,Close,Volume,Market Cap
2017-11-03,0.002384,0.003969,0.000782,0.003952,2496.0,
2017-11-04,0.002377,0.007108,0.001748,0.003169,26547.0,
2017-11-05,0.002892,0.005759,0.002863,0.004741,44668.0,
2017-11-06,0.004451,0.05816,0.004448,0.007653,57170.0,
2017-11-07,0.006799,0.054157,0.000769,0.003417,46258.0,
2017-11-08,0.003345,0.012696,0.00272,0.004334,15998.0,
2017-11-09,0.004592,0.007304,0.002432,0.003341,16884.0,
2017-11-10,0.003351,0.004163,0.001328,0.003227,11538.0,
2017-11-11,0.003215,0.00333,0.002028,0.002547,3284.0,
2017-11-12,0.002544,0.002816,0.001233,0.002808,9281.0,
2017-11-13,0.002818,0.003765,0.002038,0.003323,5802.0,
2017-11-14,0.003331,0.003576,0.002416,0.003284,3053.0,
2017-11-15,0.003299,0.004633,0.002676,0.004572,3531.0,
2017-11-16,0.002921,0.003671,0.00223,0.003667,8761.0,
2017-11-17,0.00364,0.003716,0.002385,0.002711,1859.0,
2017-11-18,0.002637,0.003173,0.002557,0.002986,4218.0,
2017-11-19,0.002967,0.003136,0.001558,0.002975,11059.0,
2017-11-20,0.002976,0.002978,0.002134,0.002405,3947.0,
2017-11-21,0.002366,0.002787,0.002112,0.002333,4408.0,
2017-11-22,0.002345,0.002764,0.001877,0.002625,1032.0,
2017-11-23,0.002624,0.022142,0.002157,0.002157,3247.0,
2017-11-24,0.002154,0.002823,0.001705,0.00282,6596.0,
2017-11-25,0.002814,0.002876,0.002078,0.00232,3350.0,
2017-11-26,0.002319,0.003809,0.001178,0.001195,5680.0,
2017-11-27,0.00178,0.002708,0.001727,0.00183,792.0,
2017-11-28,0.002127,0.002768,0.001822,0.00199,2348.0,
2017-11-29,0.001988,0.032175,0.001988,0.002819,11468.0,
2017-11-30,0.003208,0.004614,0.002477,0.004234,5822.0,
2017-12-01,0.004209,0.012156,0.002976,0.007611,7219.0,
2017-12-02,0.007603,0.007835,0.004453,0.006535,27625.0,
2017-12-03,0.006541,0.007041,0.005089,0.006425,32214.0,
2017-12-04,0.006446,0.014377,0.005681,0.01178,52807.0,
2017-12-05,0.011803,0.017244,0.001486,0.013133,183639.0,
2017-12-06,0.013103,0.099933,0.001456,0.014376,144366.0,
2017-12-07,0.014351,0.020558,0.010697,0.013034,101166.0,
2017-12-08,0.012332,0.02044,0.00916,0.012981,34548.0,
2017-12-09,0.012958,0.013154,0.006196,0.00972,11371.0,
2017-12-10,0.009759,0.011614,0.007578,0.011398,16348.0,
2017-12-11,0.011316,0.015183,0.009482,0.011323,26779.0,
2017-12-12,0.011359,0.013927,0.010076,0.012711,12800.0,
2017-12-13,0.012721,0.015352,0.010974,0.012117,32099.0,
2017-12-14,0.012078,0.115064,0.011562,0.013775,68861.0,
2017-12-15,0.013944,0.128642,0.01284,0.014271,22924.0,
2017-12-16,0.014243,0.01494,0.012288,0.012541,21033.0,
2017-12-17,0.014577,0.015295,0.011583,0.014976,40389.0,
2017-12-18,0.015021,0.015021,0.01121,0.011684,14925.0,
