Date,Open,High,Low,Close,Volume,Market Cap
2015-08-21,0.000583,0.000941,0.00043,0.000435,279.0,939.0
2015-08-22,0.000435,0.000742,0.00043,0.000442,342.0,1014.0
2015-08-23,0.000442,0.000557,0.000438,0.00044,29.0,1068.0
2015-08-24,0.00044,0.000478,0.000423,0.000474,37.0,1212.0
2015-08-25,0.000473,0.000498,0.000332,0.000332,38.0,896.0
2015-08-26,0.000333,0.000416,0.000111,0.000111,1.0,313.0
2015-08-27,0.000111,0.000111,7.9e-05,8.5e-05,7.0,253.0
2015-08-28,8.5e-05,0.000128,7.9e-05,0.000127,3.0,394.0
2015-08-29,0.000127,0.000129,0.000114,0.000129,8.0,416.0
2015-08-30,0.000129,0.000293,0.000119,0.000293,22.0,984.0
2015-08-31,0.000293,0.000293,0.000115,0.000115,8.0,402.0
2015-09-01,0.000115,0.000116,0.000113,0.000114,7.0,413.0
2015-09-02,0.000114,0.000214,8.5e-05,8.5e-05,64.0,319.0
2015-09-03,8.5e-05,8.7e-05,8.4e-05,8.7e-05,3.0,337.0
2015-09-04,8.7e-05,8.8e-05,8.3e-05,8.3e-05,17.0,333.0
2015-09-05,8.3e-05,8.7e-05,8.3e-05,8.5e-05,9.0,351.0
2015-09-06,8.5e-05,0.000106,8.4e-05,8.6e-05,3.0,370.0
2015-09-07,8.6e-05,9.6e-05,3.1e-05,9.6e-05,4.0,424.0
2015-09-08,9.6e-05,9.8e-05,3.1e-05,3.2e-05,0.0,144.0
2015-09-09,3.2e-05,3.2e-05,1.4e-05,1.4e-05,0.0,67.0
2015-09-10,1.4e-05,1.4e-05,1.4e-05,1.4e-05,0.0,68.0
2015-09-11,1.9e-05,7.9e-05,1.9e-05,7.9e-05,0.0,388.0
2015-09-12,7.9e-05,7.9e-05,7.7e-05,7.8e-05,0.0,391.0
2015-09-13,2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,119.0
2015-09-14,2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,122.0
2015-09-15,2.3e-05,2.6e-05,2.3e-05,2.3e-05,0.0,125.0
2015-09-16,2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,127.0
2015-09-17,2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,131.0
2015-09-18,2.3e-05,2.3e-05,1.4e-05,2.1e-05,1.0,122.0
2015-09-19,2.1e-05,0.000297,2.1e-05,3.9e-05,79.0,234.0
2015-09-20,3.9e-05,0.000135,3.9e-05,4.4e-05,4.0,267.0
2015-09-21,4.4e-05,4.4e-05,3.2e-05,3.2e-05,1.0,197.0
2015-09-22,3.2e-05,0.000126,3.2e-05,0.000115,4.0,731.0
2015-09-23,0.000115,0.000139,2.8e-05,9.2e-05,25.0,596.0
2015-09-24,9.2e-05,0.000137,9.2e-05,0.000106,6.0,697.0
2015-09-25,0.000105,0.000141,0.000105,0.000141,1.0,951.0
2015-09-26,0.000141,0.000141,0.00014,0.000141,1.0,964.0
2015-09-27,0.000115,0.000117,3e-05,3e-05,29.0,212.0
2015-09-28,3e-05,0.000105,3e-05,0.000105,4.0,751.0
2015-09-29,0.000105,0.000119,4e-05,5e-05,5.0,360.0
2015-09-30,5e-05,5.5e-05,5e-05,5.4e-05,0.0,394.0
2015-10-01,5.4e-05,5.7e-05,5.4e-05,5.5e-05,0.0,396.0
2015-10-02,5.5e-05,5.7e-05,5.5e-05,5.7e-05,2.0,413.0
2015-10-03,5.7e-05,5.7e-05,5.5e-05,5.5e-05,5.0,398.0
2015-10-04,5.5e-05,5.5e-05,5e-05,5e-05,3.0,363.0
2015-10-05,5e-05,5.3e-05,5e-05,5.3e-05,1.0,383.0
2015-10-06,5.3e-05,9.1e-05,5.3e-05,6.6e-05,6.0,482.0
2015-10-07,6.6e-05,6.7e-05,6.5e-05,6.6e-05,5.0,476.0
2015-10-08,6.6e-05,6.8e-05,6.5e-05,6.8e-05,0.0,492.0
2015-10-09,6.8e-05,0.00011,6.8e-05,0.00011,4.0,796.0
2015-10-10,0.00011,0.000147,6.8e-05,7.8e-05,8.0,568.0
2015-10-11,7.8e-05,0.000148,6.9e-05,8.4e-05,5.0,687.0
2015-10-12,8.4e-05,0.00029,8.4e-05,0.000289,115.0,2367.0
2015-10-13,0.000289,0.000315,0.000102,0.000122,19.0,1000.0
2015-10-14,0.000122,0.000247,0.000122,0.000159,43.0,1298.0
2015-10-15,0.000159,0.000184,0.000132,0.000148,38.0,1206.0
2015-10-16,0.000147,0.000247,0.000147,0.000158,40.0,1290.0
2015-10-17,0.000158,0.000161,0.000154,0.00016,23.0,1306.0
2015-10-18,0.00016,0.00016,9.9e-05,0.000102,22.0,835.0
2015-10-19,0.000102,0.000106,9.9e-05,0.0001,11.0,819.0
2015-10-20,0.0001,0.00012,9.1e-05,0.0001,17.0,815.0
2015-10-21,0.0001,0.000198,9.2e-05,0.00012,13.0,980.0
2015-10-22,0.00012,0.000124,9.3e-05,9.6e-05,13.0,784.0
2015-10-23,9.6e-05,0.000205,9.3e-05,0.000105,25.0,859.0
