Date,Open,High,Low,Close,Volume,Market Cap
2017-05-30,440188.0,440971.0,433404.0,438497.0,1546.0,
2017-05-31,440217.0,1661230.0,413046.0,708415.0,1948.0,
2017-06-01,708346.0,735181.0,294893.0,594848.0,3771.0,
2017-06-02,595117.0,596240.0,299234.0,460286.0,1198.0,
2017-06-03,311837.0,466924.0,306295.0,368437.0,407.0,
2017-06-04,367442.0,463708.0,323912.0,462505.0,259.0,
2017-06-05,462588.0,478571.0,325477.0,335832.0,463.0,
2017-06-06,336849.0,380234.0,279852.0,372569.0,733.0,
2017-06-07,372663.0,373608.0,202479.0,206146.0,1299.0,
2017-06-08,207182.0,303042.0,201659.0,274962.0,353.0,
2017-06-09,274528.0,371211.0,273388.0,275003.0,441.0,
2017-06-10,275416.0,278341.0,199911.0,205109.0,248.0,
2017-06-11,204991.0,210955.0,202814.0,209448.0,34.0,
2017-06-12,180524.0,286219.0,129734.0,283574.0,313.0,
2017-06-13,282626.0,295458.0,159378.0,159863.0,72.0,
2017-06-14,159770.0,288543.0,159738.0,257817.0,85.0,
2017-06-15,257806.0,262734.0,157028.0,164259.0,107.0,
2017-06-16,164137.0,369705.0,162258.0,349721.0,244.0,
2017-06-17,349721.0,354717.0,224820.0,354717.0,625.0,
2017-06-18,354717.0,749402.0,250325.0,250325.0,807.0,
2017-06-19,250325.0,362211.0,187350.0,222322.0,545.0,
2017-06-20,222322.0,222372.0,222322.0,222372.0,47.0,
2017-06-21,222372.0,249800.0,219825.0,249800.0,159.0,
2017-06-22,249800.0,312251.0,169864.0,170364.0,320.0,
2017-06-23,170364.0,341394.0,170364.0,336063.0,128.0,
2017-06-24,336025.0,680023.0,198780.0,370271.0,970.0,
2017-06-25,369422.0,375406.0,187207.0,264550.0,2466.0,
2017-06-26,264412.0,370922.0,189706.0,192769.0,1043.0,
2017-06-27,197320.0,354458.0,188693.0,354458.0,325.0,
2017-06-28,356769.0,1540320.0,205568.0,1532950.0,3250.0,
2017-06-29,1531520.0,1536280.0,254544.0,505416.0,801.0,
2017-06-30,506422.0,508395.0,300493.0,301684.0,302.0,
2017-07-01,301568.0,471427.0,252705.0,438130.0,7353.0,
2017-07-02,438076.0,443585.0,288885.0,437269.0,1029.0,
2017-07-03,435659.0,437050.0,299093.0,381347.0,537.0,
2017-07-04,380480.0,393450.0,319882.0,375767.0,416.0,
2017-07-05,375564.0,375564.0,316626.0,326109.0,534.0,
2017-07-06,326271.0,377318.0,326271.0,376247.0,533.0,
2017-07-07,376523.0,492981.0,351394.0,354935.0,324.0,
2017-07-08,355233.0,382471.0,315614.0,382063.0,274.0,
2017-07-09,382405.0,383591.0,314043.0,314043.0,177.0,
2017-07-10,314655.0,316330.0,212117.0,218116.0,251.0,
2017-07-11,217652.0,224287.0,209676.0,217727.0,262.0,
2017-07-12,217404.0,333891.0,210755.0,226548.0,91.0,
2017-07-13,226717.0,229649.0,220517.0,222560.0,181.0,
2017-07-14,222397.0,273394.0,158062.0,268911.0,1031.0,
2017-07-15,268450.0,268941.0,141261.0,141371.0,261.0,
2017-07-16,140946.0,145638.0,130426.0,136679.0,14.0,
2017-07-17,136528.0,217639.0,136528.0,217281.0,44.0,
2017-07-18,217841.0,250068.0,211734.0,241400.0,169.0,
2017-07-19,241784.0,241784.0,156170.0,158341.0,2227.0,
2017-07-20,157865.0,265329.0,157865.0,205208.0,390.0,
2017-07-21,206730.0,238813.0,189620.0,194780.0,211.0,
2017-07-22,194740.0,259858.0,193808.0,209454.0,85.0,
2017-07-23,209454.0,387724.0,196255.0,371203.0,37923.0,
2017-07-24,370772.0,370772.0,244230.0,251015.0,935.0,
2017-07-25,250988.0,279256.0,223011.0,230319.0,282.0,
2017-07-26,230424.0,272848.0,180925.0,251755.0,492.0,
2017-07-27,252470.0,264396.0,225504.0,225504.0,55.0,
2017-07-28,226187.0,280303.0,212108.0,279169.0,180.0,
2017-07-29,278110.0,278870.0,266932.0,269087.0,27.0,
2017-07-30,202827.0,260013.0,188793.0,205333.0,379.0,
2017-07-31,205543.0,221268.0,184121.0,188821.0,393.0,
2017-08-01,188912.0,242739.0,139763.0,240199.0,254.0,
2017-08-02,240153.0,242315.0,183360.0,186242.0,19.0,
2017-08-03,186575.0,190805.0,186458.0,190281.0,19.0,
2017-08-04,153022.0,219885.0,141420.0,142792.0,634.0,
2017-08-05,142729.0,166095.0,142624.0,162775.0,165.0,
2017-08-06,130718.0,240676.0,129908.0,238825.0,306.0,
2017-08-07,238291.0,251716.0,149933.0,250734.0,192.0,
2017-08-08,250987.0,252794.0,217740.0,222369.0,34.0,
