Date,Open,High,Low,Close,Volume,Market Cap
2018-08-10,0.020249,0.020249,0.019177,0.019478,1340.0,
2018-08-11,0.01946,0.021216,0.016234,0.017752,5892.0,
2018-08-12,0.017698,0.01783,0.015844,0.015942,6665.0,
2018-08-13,0.015936,0.016353,0.014756,0.015173,341.0,
2018-08-14,0.015159,0.015852,0.013725,0.014196,1832.0,
2018-08-15,0.014185,0.015104,0.012699,0.013187,935.0,
2018-08-16,0.013169,0.014372,0.011891,0.012034,448.0,
2018-08-17,0.012035,0.014461,0.012007,0.012316,1064.0,
2018-08-18,0.012343,0.013449,0.012289,0.012419,1114.0,
2018-08-19,0.012423,0.013647,0.01228,0.013057,490.0,
2018-08-20,0.013036,0.013528,0.0127,0.0127,74.0,
2018-08-21,0.012681,0.012871,0.012451,0.012838,214.0,
2018-08-22,0.012841,0.014304,0.012478,0.012609,272.0,
2018-08-23,0.012607,0.013622,0.012183,0.012419,126.0,
2018-08-24,0.012428,0.014064,0.012333,0.014025,113.0,
2018-08-25,0.014,0.014761,0.013308,0.013968,1105.0,
2018-08-26,0.013998,0.01439,0.013716,0.014385,23.0,
2018-08-27,0.014378,0.015454,0.013876,0.014694,1780.0,
2018-08-28,0.014665,0.01604,0.014642,0.015945,5531.0,
2018-08-29,0.015959,0.016043,0.014185,0.01581,2812.0,
2018-08-30,0.015819,0.015871,0.014138,0.014536,1086.0,
2018-08-31,0.01455,0.014577,0.013567,0.013994,554.0,
2018-09-01,0.013978,0.014822,0.013691,0.013729,427.0,
2018-09-02,0.013736,0.014946,0.01337,0.014473,317.0,
2018-09-03,0.014469,0.014768,0.014197,0.014244,988.0,
2018-09-04,0.014244,0.014309,0.011735,0.012502,553.0,
2018-09-05,0.012512,0.012768,0.012133,0.012133,14.0,
2018-09-06,0.012155,0.012155,0.011466,0.011654,5.0,
2018-09-07,0.011507,0.01156,0.009596,0.009596,681.0,
2018-09-08,0.009608,0.009927,0.008619,0.008667,247.0,
2018-09-09,0.008663,0.009303,0.008232,0.008232,394.0,
2018-09-10,0.008229,0.008724,0.008229,0.008523,54.0,
2018-09-11,0.008538,0.008744,0.008182,0.008339,35.0,
2018-09-12,0.008339,0.013664,0.004241,0.009497,2251.0,
2018-09-13,0.009505,0.009635,0.009077,0.009291,1096.0,
2018-09-14,0.009091,0.009375,0.00844,0.00897,571.0,
2018-09-15,0.008958,0.009054,0.008935,0.009019,4.0,
2018-09-16,0.008354,0.008407,0.008353,0.00838,176.0,
2018-09-17,0.008401,0.008438,0.007825,0.007832,649.0,
2018-09-18,0.007833,0.008097,0.007653,0.007683,784.0,
2018-09-19,0.007687,0.007844,0.007399,0.007409,360.0,
2018-09-20,0.007412,0.007808,0.006699,0.006835,637.0,
2018-09-21,0.006837,0.008377,0.006827,0.007954,885.0,
2018-09-22,0.007961,0.008018,0.006916,0.006975,1201.0,
2018-09-23,0.006977,0.007096,0.006936,0.006961,148.0,
2018-09-24,0.006962,0.007102,0.006949,0.006985,19.0,
2018-09-25,0.006977,0.00698,0.006359,0.006436,766.0,
2018-09-26,0.006425,0.006541,0.006387,0.006466,55.0,
2018-09-27,0.006474,0.006654,0.005829,0.006275,902.0,
2018-09-28,0.006276,0.006307,0.006069,0.006169,30.0,
2018-09-29,0.006165,0.006165,0.005951,0.006006,46.0,
2018-09-30,0.006004,0.006049,0.005809,0.006032,496.0,
2018-10-01,0.006014,0.006066,0.005704,0.006066,2367.0,
2018-10-02,0.006048,0.006762,0.00589,0.006587,9782.0,
2018-10-03,0.006591,0.006772,0.006233,0.006426,9211.0,
2018-10-04,0.006434,0.006718,0.006414,0.006549,7908.0,
2018-10-05,0.006698,0.007475,0.006347,0.006739,18512.0,
2018-10-06,0.006622,0.007177,0.006308,0.006759,12863.0,
2018-10-07,0.006784,0.007081,0.006395,0.006947,10126.0,
2018-10-08,0.006979,0.007138,0.006618,0.006892,9203.0,
2018-10-09,0.006916,0.007042,0.00652,0.006766,7475.0,
2018-10-10,0.006739,0.006813,0.006559,0.006733,4660.0,
2018-10-11,0.00671,0.006717,0.006274,0.0064,106.0,
2018-10-12,0.006392,0.006479,0.00638,0.006425,99.0,
2018-10-13,0.006425,0.006463,0.00634,0.006354,564.0,
2018-10-14,0.006355,0.006436,0.005985,0.006386,784.0,
2018-10-15,0.006393,0.007221,0.006349,0.0066,538.0,
2018-10-16,0.006594,0.006734,0.006481,0.006507,1008.0,
2018-10-17,0.00653,0.006557,0.006307,0.006328,409.0,
2018-10-18,0.006352,0.007003,0.006283,0.006301,1114.0,
2018-10-19,0.0063,0.008267,0.006186,0.00619,692.0,
2018-10-20,0.006191,0.012455,0.006065,0.012455,4333.0,
2018-10-21,0.012458,0.012549,0.007978,0.007978,1540.0,
2018-10-22,0.007974,0.009968,0.006085,0.007459,1480.0,
2018-10-23,0.007457,0.008009,0.007277,0.007545,376.0,
2018-10-24,0.007519,0.007566,0.006488,0.006756,389.0,
2018-10-25,0.006759,0.007766,0.006322,0.006961,794.0,
2018-10-26,0.006947,0.007203,0.006293,0.00636,610.0,
2018-10-27,0.006338,0.00707,0.006171,0.006181,175.0,
2018-10-28,0.006213,0.006946,0.006169,0.006904,18.0,
2018-10-29,0.006902,0.006933,0.005916,0.006316,100.0,
2018-10-30,0.0063,0.018175,0.006293,0.007612,105.0,
2018-10-31,0.007637,0.007644,0.006979,0.006979,66.0,
2018-11-01,0.006979,0.007042,0.005753,0.005756,80.0,
2018-11-02,0.005756,0.006262,0.005756,0.006121,50.0,
2018-11-03,0.006121,0.006725,0.006121,0.006212,24.0,
2018-11-04,0.006212,0.006468,0.006114,0.006468,26.0,
2018-11-05,0.006466,0.006515,0.006152,0.00616,12.0,
2018-11-06,0.006185,0.00619,0.005504,0.005898,149.0,
2018-11-07,0.005902,0.00621,0.005598,0.005621,185.0,
2018-11-08,0.005621,0.005679,0.005587,0.005596,90.0,
2018-11-09,0.005597,0.005623,0.005549,0.005553,15.0,
2018-11-10,0.005553,0.005609,0.005547,0.005605,,
2018-11-11,0.005605,0.006089,0.005535,0.005561,59.0,
2018-11-12,0.005595,0.006036,0.005526,0.005565,450.0,
2018-11-13,0.005541,0.005565,0.004328,0.004853,1965.0,
2018-11-14,0.004839,0.004952,0.004035,0.004301,3937.0,
2018-11-15,0.004323,0.004391,0.003173,0.003724,607.0,
2018-11-16,0.003723,0.003728,0.003397,0.003445,1450.0,
2018-11-17,0.003452,0.003452,0.002168,0.00262,571.0,
2018-11-18,0.002629,0.002655,0.002535,0.002551,11.0,
2018-11-19,0.002552,0.002552,0.001956,0.002127,589.0,
2018-11-20,0.002118,0.002429,0.001669,0.002363,134.0,
2018-11-21,0.002389,0.003296,0.0019,0.0028,261.0,
2018-11-22,0.002796,0.003017,0.00219,0.002977,239.0,
